observation_id,keyword,list_position,rank_raw,heat_index_display,impressions_display,likes_display,shares_display,comments_display,classification,group,group_label,reason,keyword_content_url,raw_ref,raw_row
fm-us-100-20260907-011,dress,11,11,1420,566.00万,10.25万,233,147,apparel_term_candidate,dress,连衣裙,按服装词义初筛；须核对原内容和具体商品，不能仅凭单词确定购买需求。,https://www.fastmoss.com/zh/creativecenter/search?page=1&words=dress&region=US,raw_keyword_table.json,11
fm-us-100-20260907-023,bra,23,23,827,251.00万,2.10万,290,268,apparel_term_candidate,bra,文胸,按服装词义初筛；须核对原内容和具体商品，不能仅凭单词确定购买需求。,https://www.fastmoss.com/zh/creativecenter/search?page=1&words=bra&region=US,raw_keyword_table.json,23
fm-us-100-20260907-026,jean,26,26,816,160.00万,5948,76,54,apparel_term_candidate,jeans,牛仔裤,按服装词义初筛；须核对原内容和具体商品，不能仅凭单词确定购买需求。,https://www.fastmoss.com/zh/creativecenter/search?page=1&words=jean&region=US,raw_keyword_table.json,26
fm-us-100-20260907-028,jeans,28,28,783,159.00万,5926,76,54,apparel_term_candidate,jeans,牛仔裤,按服装词义初筛；须核对原内容和具体商品，不能仅凭单词确定购买需求。,https://www.fastmoss.com/zh/creativecenter/search?page=1&words=jeans&region=US,raw_keyword_table.json,28
fm-us-100-20260907-041,pant,41,41,605,90.80万,1980,78,32,apparel_term_candidate,pants,裤装,按服装词义初筛；须核对原内容和具体商品，不能仅凭单词确定购买需求。,https://www.fastmoss.com/zh/creativecenter/search?page=1&words=pant&region=US,raw_keyword_table.json,41
fm-us-100-20260907-050,pants,50,50,567,67.90万,1918,74,32,apparel_term_candidate,pants,裤装,按服装词义初筛；须核对原内容和具体商品，不能仅凭单词确定购买需求。,https://www.fastmoss.com/zh/creativecenter/search?page=1&words=pants&region=US,raw_keyword_table.json,50
fm-us-100-20260907-057,swimsuit,57,57,518,81.60万,3822,104,52,apparel_term_candidate,swimsuit,泳装,按服装词义初筛；须核对原内容和具体商品，不能仅凭单词确定购买需求。,https://www.fastmoss.com/zh/creativecenter/search?page=1&words=swimsuit&region=US,raw_keyword_table.json,57
fm-us-100-20260907-065,shorts,65,65,488,84.90万,2312,44,40,apparel_term_candidate,shorts,短裤,按服装词义初筛；须核对原内容和具体商品，不能仅凭单词确定购买需求。,https://www.fastmoss.com/zh/creativecenter/search?page=1&words=shorts&region=US,raw_keyword_table.json,65
fm-us-100-20260907-077,shapewear,77,77,433,132.00万,7300,180,150,apparel_term_candidate,shapewear,塑身衣,按服装词义初筛；须核对原内容和具体商品，不能仅凭单词确定购买需求。,https://www.fastmoss.com/zh/creativecenter/search?page=1&words=shapewear&region=US,raw_keyword_table.json,77
fm-us-100-20260907-100,leggings,100,100,389,53.30万,2346,112,56,apparel_term_candidate,leggings,紧身裤,按服装词义初筛；须核对原内容和具体商品，不能仅凭单词确定购买需求。,https://www.fastmoss.com/zh/creativecenter/search?page=1&words=leggings&region=US,raw_keyword_table.json,100
