"page_position","product_id","product_url","title_display","store_or_brand_display","rating_display","price_display","original_price_display","sold_display","sold_display_abbreviated","discount_display","promotion_labels","review_note"
"1","1732331935794958838","https://shop.tiktok.com/us/pdp/chicme-womens-striped-halter-tank-viscose-gold-buttons/1732331935794958838","CHICME Women's Striped Halter Golden Button Decor Tank Causal Sleeveless Breathable Knit Top Casual Camisole","chicme","4.7","$19.99","$25.99","6.9K","true","-23%","",""
"2","1732381281439289620","https://shop.tiktok.com/us/pdp/unisex-y2k-street-style-cool-pants-with-star-print-drawstring/1732381281439289620","Available in packs of 1/2/3; unisex Y2K Street Style cool pants—original long pants. Casual design with two waistband areas for a faux two-piece look, star print, loose straight fit, and drawstring. Soft, comfortable athletic pants, perfect for everyday f","","4.3","$25.99","$50.21","224","false","-48%","Limited time deal",""
"3","1731361796366963564","https://shop.tiktok.com/us/pdp/wireless-push-up-bras-4-pack-seamless-comfort-full-coverage/1731361796366963564","Women's Jelly Wireless Seamless Brassiere - Slight-Push Up, Breathable, Adjustable Straps, Lightweight Smooth Nylon-Elastane, Everyday & Working Use, Basic Minimalist 1-Piece Bras for Women","","4.3","$17.99","$39.98","430","false","-55%","Flash sale",""
"4","1732410109013955024","https://shop.tiktok.com/us/pdp/womens-high-waisted-harem-pants-pleated-drawstring/1732410109013955024","Women's High-Waisted Harem Pants, Casual Pleated Drawstring, Wide Leg Trousers","","3.9","$26.42","","150","false","","",""
"5","1732202457133715937","https://shop.tiktok.com/us/pdp/utcoco-denim-dress-for-women-sleeveless-side-slit-bodycon-midi/1732202457133715937","utcoco Women's Sleeveless Denim Bodycon Midi Dress - Casual Wear with Side Slit, Elegant Fit, 2026 Chic Design, Imported, Machine Washable","","4.6","$44.99","","22.6K","true","","",""
"6","1732280259047297255","https://shop.tiktok.com/us/pdp/fisoew-womens-sleeveless-v-neck-mini-dress-lightweight-fabric/1732280259047297255","Fisoew Women's Sleeveless V-Neck Zip-Front Smocked Loose Cotton Mini Dress with Pockets, Breezy Sleeveless Casual Dresses, Lightweight Fabric Feels Airy All Day, for Vacation Beach Outfits, Womenswear Fashion Apparel","","4.5","$37.35","$46.86","7.6K","true","-20%","",""
"7","1729443237996696023","https://shop.tiktok.com/us/pdp/scoop-neck-tee-by-pumiey-lightweight-cotton-slim-fit-top-for-women/1729443237996696023","PUMIEY Snatched Fitted Tee, Flattering Wide Crew Neck T-Shirt, Double Layer Buttery Soft Stretch, Minimal Everyday Basic summerwins,back to school,back to school shopping, Women's Clothes, Tops","PUMIEY","4.5","$19.99","$23.99","23.5K","true","-17%","",""
"8","1732434931742380931","https://shop.tiktok.com/us/pdp/comfrt-snak-hoodie-heavyweight-fleece-with-6-snack-pockets/1732434931742380931","Comfrt | Snak Hoodie | Heavyweight Fleece Hoodie With 6 Snack Pockets","Comfrt","4.7","$3,000.00","","9.6K","true","","","页面标价 $3,000.00，价格适用 SKU 及实际售价待核实；保留原值。"
"9","1732111886209094504","https://shop.tiktok.com/us/pdp/tall-remi-ripped-baggy-jeans-by-fashion-nova-medium-wash-5-pocket-high-rise/1732111886209094504","Tall Remi Ripped Stretch Baggy Jeans - Medium Wash","Fashion Nova","4.4","$39.99","","4.4K","true","","",""
"10","1731653639389155372","https://shop.tiktok.com/us/pdp/wide-leg-baggy-pants-by-yeezaa-elastic-waist-pockets-fall-2025-style/1731653639389155372","YeeZaa Women's Wide Leg Baggy Pants Back to School First Day Outfit College Outfit Transitional Fall Look Office Outfit Elastic Wasitted Harem Palazzo Pants 2026 Spring Summer Fashion Womenswear with Pockets#widelegpants #streetstyle#2026#springfresh","","4.6","$26.99","$38.55","15.2K","true","-30%","",""
"11","1731275603064820017","https://shop.tiktok.com/us/pdp/womens-tank-dress-solid-color-backless-party-style/1731275603064820017","Women's Sleeveless Spaghetti Strap Tank Dress, Back Sleeveless Bodycon, Fashion Women's Lady Solid Color Backless Short Dress for Parties, Clubs and Nights Out, Dresses For Party, Womenswear","","4.4","$37.63","","11.6K","true","","",""
"12","1732124788200870156","https://shop.tiktok.com/us/pdp/sidefeel-womens-high-waisted-distressed-crop-jeans-stretch-fit/1732124788200870156","Sidefeel Womens Bermuda Jean Shorts High Waisted Tummy Control Stretchy Denim Shorts with Pockets Womenswear Button DealsForYouDays summerwins WeeklyDeals Summer Outfit","","4.8","$34.99","$56.99","1.3K","true","-39%","",""
"13","1732453509168010041","https://shop.tiktok.com/us/pdp/ladies-2-piece-cotton-intimates-ruffled-floral-lace/1732453509168010041","Ladies Multi-Size 2-Piece Cotton Intimate Set, Ruffled Spaghetti Strap Top Paired With Matching Bottoms, Delicate Bow Accents And Sheer Floral Lace Details, Light Romantic Garment Perfect For Romantic Private Nights And Special Intimate Occasion Outfits","","4.1","$10.90","$23.98","6.2K","true","-55%","",""
"14","1732290279811945044","https://shop.tiktok.com/us/pdp/after-sales-guarantee-t-shirt-quality-assurance-satisfaction-promise/1732290279811945044","Lady's Casual Streetwear T-Shirt, Women's Comfortable Top - Appreciate Your Trust & Purchase, Please Share Positive Feedback Upon Receipt, Casual Wear,sohochic","","","$35.00","","2.6K","true","","",""
"15","1729741336768123672","https://shop.tiktok.com/us/pdp/full-body-shaper-yianna-womens-shapewear-butt-lifter-zipper-crotch/1729741336768123672","Women‘s YIANNA Fajas Colombianas Shapewear Full Body Shaper Butt Lifter with Hooks Closure","YIANNA INC","4.6","$39.99","$69.99","25.0K","true","-43%","",""
"16","1732136063067787849","https://shop.tiktok.com/us/pdp/womens-gothic-bat-moth-butterfly-print-a-line-mini-skirt/1732136063067787849","Fairycore Women's Gothic Punk A-Line Skirt, Bat Butterfly Spider Print, Leaf Pattern, All Seasons, Elegant Party Dress, Long Flared Skirt","","4.8","$16.78","","6.0K","true","","",""
"17","1732260643513602620","https://shop.tiktok.com/us/pdp/womens-casual-fashion-dress-elegant-vintage-style-perfect-for-weddings-dates/1732260643513602620","Women's Casual Fashion Chic Dress Spring Summer New Pure Color Elegant Vintage Long Puffy Dress, French Waist Cinched Dress for Wedding Date Outing, Elegant Dresses","","4.1","$34.20","","5.4K","true","","",""
"18","1729439403414032705","https://shop.tiktok.com/us/pdp/bodycon-dress-by-unknown-women-s-sleeveless-midi-dress-for-all-seasons/1729439403414032705","European Women's Spring Summer Fashion Casual Comfy Classy Plain Midi Dress, Sleeveless Slim-Fitting Basic Dress, No Pockets, Versatile","","4.6","$20.36","","69.6K","true","","",""
"19","1729485584323154419","https://shop.tiktok.com/us/pdp/plus-size-paisley-print-blouse-high-waist-shorts-set-for-women/1729485584323154419","【Plus Size】 All Over Print Blouse & High Waist Shorts Vintage Set without Inner Cami, Boho Bohemian Casual Pocket Open Front Top & Pocket Shorts for Daily Beach Wear, Women's Clothing for Summer, Womenswear, Shorts Sets Outfits, Matching Clothing Set","","4.7","$33.98","","8.3K","true","","",""
"20","1731615730157719949","https://shop.tiktok.com/us/pdp/womens-thermal-fleece-jacket-with-adjustable-waist-pockets/1731615730157719949","Women's Autumn Winter Fleece Jacket, Basic Stand Collar Zipper Pocket Design, Adjustable Drawstring, Casual Warm Loose Short Coat for Ladies, Daily Wear Outerwear, Loose Jackets","","4.4","$30.44","$32.59","21.2K","true","-7%","",""
"21","1729627023289717415","https://shop.tiktok.com/us/pdp/womens-by-comfortsoft-soft-breathable-daily-underwear/1729627023289717415","Women's Solid Color Drop Waist Thong, Drop Waist Panties, Soft Breathable Panty, Soft Knicker for Daily Wear, Women's Fashion Comfy Underwear for All Seasons, Casual Breathable Knicker","","4.8","$20.30","","77.6K","true","","",""
"22","1729568341316702519","https://shop.tiktok.com/us/pdp/crop-tank-top-by-brand-womens-ribbed-button-front-sleeveless-top/1729568341316702519","Women's Plain Button Front Ribbed Crop Tank Top, Casual Chic Sleeveless Round Neck Top for Daily Wear, Ladies Clothes for All Seasons Womenswear, Casual Everyday Top Crop Tops, Casual Cropped Top","","4.4","$21.77","","50.2K","true","","",""
"23","1729436090324717794","https://shop.tiktok.com/us/pdp/sleep-dress-by-chicme-with-lace-trim-bowknot-slit-design-in-mini-length/1729436090324717794","CHICME Women's Lace Trim Side Slit Modal Cami Sleep Dress Loungewear Night Gown for Women Lightweight Soft Nightwear","","4.7","$13.98","$19.99","414.5K","true","-30%","",""
"24","1732407731935613543","https://shop.tiktok.com/us/pdp/plus-size-womens-ruffle-camisole-a-line-hem-solid-color/1732407731935613543","Plus Size Women's Elegant Ruffle Camisole, A-Line Hem Solid Color Top, Casual Fashion for Daily Wear, Graduation, Dates, Office, Parties, Short","","4.2","$11.80","$24.59","911","false","-52%","",""
"25","1732430055335104817","https://shop.tiktok.com/us/pdp/womens-sexy-deep-v-neck-bodycon-dress-summer-casual/1732430055335104817","Women's Solid Color Sexy Deep V Neck Half Sleeves Bodycon Dress, Basic Plain Ruched Slim Fit A-line Mini Dress, Party Club Date Holiday Daily Casual Elegant Short Dresses For Ladies All Seasons Summer Fashion Chic Clothes Wear, Dresses with Sleeves","","4.5","$10.41","$21.69","5.4K","true","-52%","",""
"26","1729481160599966488","https://shop.tiktok.com/us/pdp/yianna-tummy-control-shapewear-bodysuit-with-butt-lifter-design/1729481160599966488","YIANNA Fajas Colombianas Shapewear for Women Tummy Control Shapewear Butt Lifter Bodysuit","YIANNA INC","4.3","$39.99","","25.0K","true","","",""
"27","1732183417045029672","https://shop.tiktok.com/us/pdp/womens-vintage-mid-waist-straight-leg-jeans-fitted-loose-fit-denim-casual-striped-design-all-seasons/1732183417045029672","Women's Vintage Mid-Waist Straight Leg Jeans, Dark Wash Denim Pants, Bottoms, Casual Fitted Style, All Seasons Wear, Denim Woven Jeans, Womenswear","","4.4","$35.81","","2.9K","true","","",""
"28","1732255717267903112","https://shop.tiktok.com/us/pdp/womens-cotton-linen-wide-leg-pant-relaxed-fit-comfortable-design/1732255717267903112","【SS26 Collection】TARSE Women Cotton Linen Blend Wide Leg Pants Plaid Loose Harem Pants Palazzo Casual Boho Summer Capri with Pockets Breathable","","4.7","$35.99","$45.99","4.2K","true","-22%","",""
"29","1731905893238870383","https://shop.tiktok.com/us/pdp/cicy-bell-womens-summer-v-neck-tee-casual-stylish-design/1731905893238870383","Cicy Bell Women's Summer Flattering V Neck T Shirts, Loose Oversized Short Sleeve Flowy Basic Tops Premium Blend Soft Fabric Hide Belly Casual Daily OOTD Tees for Beach Vacation Everyday Outfit","Cicy Bell shop","4.6","$19.99","$29.99","21.7K","true","-33%","",""
"30","1729466330105680310","https://shop.tiktok.com/us/pdp/shapewear-bodysuit-by-snatched-body-with-built-in-bra-for-everyday-use/1729466330105680310","Tummy Control Bodysuit with Built-in Bra │ Bodysuit Shapewear for Women │ Soft Microfiber Body Shaper │ Butt Lifting + Waist Control │ Seamless Shapewear │ Adjustable Straps │ Snatched Body","Snatched Body","4.7","$93.99","","24.4K","true","","",""
"31","1732356834818429882","https://shop.tiktok.com/us/pdp/tankaneo-womens-plus-size-v-neck-t-shirt-casual-cotton-top/1732356834818429882","Tankaneo Women's Plus Size V Neck T Shirts Summer Half Sleeve Tees Casual Loose Fit Cotton Tunic Tops","","4.2","$24.98","$39.99","14.5K","true","-38%","",""
"32","1729484796734051674","https://shop.tiktok.com/us/pdp/valentines-day-womens-lightweight-zip-front-jacket-breathable-sportswear-for-gym-yoga-casual-wear-comfortable-long-sleeve-design/1729484796734051674","Women's Lightweight Nylon & Spandex Sporty Chic Active Jacket - Zip‑Front Stand Collar, Breathable Long Sleeve, Albumin Gold Zipper, Yoga‑to‑Casual Gym Outerwear, Coats, Machine Washable","","4.8","$20.50","","7.0K","true","","",""
"33","1729448905888993450","https://shop.tiktok.com/us/pdp/capri-shaper-by-leonisa-invisible-high-waisted-compression-design/1729448905888993450","Leonisa ComfortFit Invisible High-Waisted Capri Shaper","Leonisa USA","4.3","$65.00","","16.7K","true","","",""
"34","1729441178301665442","https://shop.tiktok.com/us/pdp/low-rise-wide-leg-jeans-by-edikted-100-cotton-size-s/1729441178301665442","Daytime Low Rise Baggy Jeans","Edikted","4.1","$73.60","","6.3K","true","","",""
"35","1729491479492399444","https://shop.tiktok.com/us/pdp/womens-floral-print-asymmetrical-contrast-mesh-dress-casual-midi-style-lettuce-trim-for-beach-holida/1729491479492399444","Women's Floral Rose Print Contrast Mesh Dress, Summer Dresses, Boho Floral Printed Casual Fitted Lettuce Trim Asymmetrical Hem A-Line Dress for Summer Beach and Holiday, Ladies Clothes for All Seasons, Womenswear #GLOBAL PICKS","","4.6","$28.84","","17.2K","true","","",""
"36","1732073176404431458","https://shop.tiktok.com/us/pdp/aelfric-eden-plaid-double-waist-sweatpants-unisex-joggers/1732073176404431458","Aelfric Eden Unisex Baggy Plaid Barrel Double Waist Cotton Sweatpants - Drawstring Elastic Waist Breathable Vintage Clothes, Men's Bottoms Joggers,sohochic","AELFRIC EDEN","4.0","$71.95","$79.95","2.0K","true","-10%","",""
"37","1732046455969386617","https://shop.tiktok.com/us/pdp/jelly-wireless-deep-v-bras-seamless-everyday-comfort-push-up-style/1732046455969386617","Classic Jelly Bra Deep V Seamless Wireless T-Shirt Bra, V-Neck, Gentle Lift, Comfortable Support, Everyday Wear","","4.4","$17.01","","32.0K","true","","",""
"38","1730663585661095984","https://shop.tiktok.com/us/pdp/halter-neck-top-by-womens-fashion-solid-color-pu-leather-sleeveless/1730663585661095984","Women's Basic Halter Neck Sleeveless PU Corset Top, Slim-Fit Plain Design, Sexy Chic Style for All Seasons, Moderate Fabric Thickness","","4.5","$26.40","","19.1K","true","","",""
"39","1732316853303873960","https://shop.tiktok.com/us/pdp/trendy-high-waisted-wide-leg-pants-textured-bodysuit/1732316853303873960","Chic Trendy High-Waisted Wide-Leg Jumpsuit, Casual, Textured, Slimming & Fit Design, Perfect for Parties, Beach and Vacation, Outfits, Multiple Colors Available, Dress Up Jumpsuit","","4.3","$31.65","","5.2K","true","","",""
"40","1732478226061562358","https://shop.tiktok.com/us/pdp/mens-coastal-bass-fish-graphic-tee-soft-cotton-lightweight/1732478226061562358","Men's Coastal Bass Fish Graphic Menswear T-Shirt - Seamless Short-Sleeve, Round Neck, Smooth Soft Preppy Cotton, Casual Loose, Lightweight, Machine Washable Top for Fishing,sohochic","","4.3","$5.87","","26","false","","",""
"41","1730723173558817200","https://shop.tiktok.com/us/pdp/tracksuit-set-by-pinspark-womens-lightweight-summer-wide-leg-pants-outfit/1730723173558817200","Pinspark Women's Two-Piece Set: Summer Outfit, Loose-Fitting Wide-Leg Pants, Casual Set: Perfect for the airport, the beach, and vacations; short sleeves; soft fabric; available in a variety of colors and sizes sohochic","Pinspark","4.8","$39.99","","48.9K","true","","",""
"42","1730601452802969762","https://shop.tiktok.com/us/pdp/oversized-striped-knit-sweater-by-edikted-in-100-cotton-lightweight/1730601452802969762","Amaris Oversized Striped Sweater","Edikted","4.4","$55.40","","3.1K","true","","",""
"43","1732415575353954410","https://shop.tiktok.com/us/pdp/1732415575353954410","Summer Women's Sleepwear 2-Piece Set Printed Spaghetti Strap Sleeveless Tank Top and Shorts, Elastic Design, Comfortable Casual Home Wear","","4.7","$18.24","","10.5K","true","","",""
"44","1732288995532378678","https://shop.tiktok.com/us/pdp/womens-lauryn-hill-print-round-neck-vest-comfortable-fit/1732288995532378678","Women's Lauryn Hill Print Round Neck Sleeveless Vest, Comfortable Casual Graphic Print Top for Spring & Summer Daily Wear","","3.2","$12.14","","252","false","","",""
"45","1732431358086385965","https://shop.tiktok.com/us/pdp/plus-size-womens-v-neck-print-shirt-lantern-sleeves-loose-fit/1732431358086385965","Plus Size Women's Bohemian Casual Floral Embroidery Pleated Notched-Neck Blouse, Boho Puff Sleeve & Shirred Design, Comfortable Loose-Fit Shirt, Ideal for Daily Wear and Parties","","3.6","$14.37","$24.79","176","false","-42%","",""
"46","1730778628184969488","https://shop.tiktok.com/us/pdp/casual-sleeveless-dress-by-brand-womens-summer-beach-vacation-outfit/1730778628184969488","Women's Plain Dress, Summer Clothes Women, Casual Sleeveless Backless Dress for Beach Holiday Vacation, Ladies Summer Clothes, Elegance","","4.4","$29.09","","194.1K","true","","",""
"47","1729609811619975473","https://shop.tiktok.com/us/pdp/bodycon-dress-by-ladies-womens-backless-halter-neck-mini-with-ruffle-hem/1729609811619975473","Women's Plain Ribbon Halter Neck Ruffle Hem Bodycon Dress, Sexy Y2K Octopus Dress, Chic Backless Sleeveless Mini Dresses for Party Club Dating Wear, Ladies Summer Fashion Clothes, Valentine's Day Gift for Girl, Open Back Dress","","4.5","$27.16","","29.0K","true","","",""
"48","1732203846324883963","https://shop.tiktok.com/us/pdp/womens-lace-trim-high-cut-thigh-high-socks-slim-fit-all-season-multiple-colors-available/1732203846324883963","Women's Lace Trim High-Cut Thigh-High Socks, Multiple Colors Available, Comfortable Feminine Fashion Design, Perfect for Daily Wear, Slim Fit, Womenswear, Lingerie, Underwear, Lady","","4.3","$1.88","$4.59","812","false","-59%","",""
"49","1730026148365112168","https://shop.tiktok.com/us/pdp/lace-mini-dress-by-fashion-nova-with-adjustable-straps-sweetheart-neckline/1730026148365112168","All In Love Lace Mini Dress - Black","Fashion Nova","4.2","$39.99","","6.5K","true","","",""
"50","1732470519461941480","https://shop.tiktok.com/us/pdp/nvf-felix-y2k-retro-denim-capri-pants-slim-fit-split-thigh/1732470519461941480","Nvfelix Solid Color Stretch Slim Fit Denim Jean Capri Pants, Capri Jeans, Y2K Retro Style Streetwear, High Street Casual Wear, Button Fly Closure, Women's Shorts","","4.3","$19.97","$42.49","232","false","-53%","",""
"51","1729411995592003876","https://shop.tiktok.com/us/pdp/flowy-mesh-2-in-1-shorts-by-halara-with-adjustable-drawstring-crossover-hem/1729411995592003876","Halara Mid Rise Drawstring Contrast Mesh 2-in-1 Flowy Running Shorts 3'' #BackToSchool","Halara US","4.7","$24.95","$39.95","41.8K","true","-38%","",""
"52","1729448380989674074","https://shop.tiktok.com/us/pdp/crop-cardigan-sweater-by-mufti-with-hollow-out-tie-front-and-flounce-sleeves/1729448380989674074","Women's Plain Hollow Out Tie Front Crop Cardigan, Casual Feminine Flounce V Neck Cover-Up Knitwear Fit for Spring, Summer & Fall, Women's Knit Clothing Tops for Daily Wear Adjustable","","4.5","$22.37","","48.2K","true","","",""
"53","1732055059402888012","https://shop.tiktok.com/us/pdp/quasti-5-pack-silk-like-lace-mid-waist-panties-sizes-s-xxl/1732055059402888012","QUASTI 5/10 Pack Silky Smooth & Sexy Lace Mid-Waist Panties for Women, Lightweight Breathable Fabric Briefs, Soft Stretch Everyday Intimates, S-XXL Feminine Feminine","","4.6","$31.98","","10.9K","true","","",""
"54","1730435310542033226","https://shop.tiktok.com/us/pdp/round-neck-tee-by-fashion-brand-womens-casual-letter-print-t-shirt/1730435310542033226","Women's Letter Print Round Neck Tee, Casual Short Sleeve Crew Neck T-shirt for Summer, Fashion Women's Top for Daily Wear","","4.7","$19.66","","3.3K","true","","",""
"55","1732447382086652494","https://shop.tiktok.com/us/pdp/womens-slim-striped-collared-button-top-shorts-set-elegant-casual-style-flattering-fit-versatile-for-day-night/1732447382086652494","Women's 2-Piece Fashionable Elegant Casual Slim Striped Collared Button Top and Shorts Set Outfit","","3.5","$28.31","","1.3K","true","","",""
"56","1732044127437492849","https://shop.tiktok.com/us/pdp/black-white-lace-triangle-underwear-set-floral-design/1732044127437492849","Women's Black and White Floral Lace Briefs, Soft Lace Briefs, Lace Fitted Panty, Panties Lingerie Set, Design, Breathable Quick-Drying High-Elasticity Fabric for a Fitted Fit, Suitable for Daily Home Wear and Outdoor Occasions, Fitted Underwear","","4.8","$15.09","","384","false","","",""
"57","1732329234497966242","https://shop.tiktok.com/us/pdp/milene-contrast-terry-capri-pants-adjustable-waist-cotton-blend/1732329234497966242","Milene Contrast French Terry Capri Pants","Edikted","4.3","$41.40","","3.8K","true","","",""
"58","1729500570034344360","https://shop.tiktok.com/us/pdp/frill-trim-boho-womens-2-piece-high-waist-pants-set-for-summer-2024/1729500570034344360","Women's Frill Trim Shirred Flare Leg Pants Coordinate Set, Elegance Boho Casual Crop Short Tube Top & High Waist Trousers for Beach Holiday Vacation, Ladies Summer Clothes","","4.6","$36.62","","22.0K","true","","",""
"59","1732094313119846562","https://shop.tiktok.com/us/pdp/blanca-satin-effect-lace-trim-tank-top-adjustable-straps-textured-bust-button-detailing/1732094313119846562","Blanca Satin Effect Lace Trim Tank Top","Edikted","5.0","$41.40","","355","false","","",""
"60","1729448656479293942","https://shop.tiktok.com/us/pdp/denim-shorts-chicme-womens-2-in-1-colorblock-ripped-with-biker-shorts/1729448656479293942","CHICME Women's 2-In-1 Denim Shorts Colorblock Print Ripped Shorts Workout Running Shorts Perfect For Casual Wear Trendy Fit Tie Dye","chicme","4.5","$39.98","","20.9K","true","","",""
"61","1730875020099883596","https://shop.tiktok.com/us/pdp/striped-print-dress-for-women-by-plus-size-casual-round-neck-design/1730875020099883596","[Plus Size] Striped Print Fashion Fit Dress, Casual Round Neck Summer Everyday Dress for Daily Wear, Women's Plus Clothing for All Seasons","","4.5","$22.84","","5.7K","true","","",""
"62","1732438640600191642","https://shop.tiktok.com/us/pdp/john-galt-womens-pink-anastasia-tie-baggy-sweatpants-low-rise-relaxed-fit-side-pockets-machine-washable/1732438640600191642","John Galt Women's Pink Anastasia Tie Baggy Sweatpants","Pacsun","4.8","$35.00","","562","false","","",""
"63","1731850551854666337","https://shop.tiktok.com/us/pdp/horror-retro-dripping-heart-halloween-shirt-fur-frauen/1731850551854666337","Women's Skeleton Hand Sweatshirt, Retro Grunge Graphic Sweatshirts, Dripping Heart Printed Cotton‑Blend Halloween Tops, Unique Eye‑Catching Graphic Print, All‑Day Wear Outfit, Back‑to‑School Clothing, First Day of School Casual Outfits Unisex,sohochic","","4.7","$22.08","$55.19","1.8K","true","-60%","",""
"64","1732183239872582112","https://shop.tiktok.com/us/pdp/womens-lace-off-shoulder-long-sleeve-slim-fit-dress-fall-fashion/1732183239872582112","Women's Elegance Off-Shoulder Long-Sleeve Slim-Fit Lace Dress, Solid-Color Formal Fall Outfit, Stylish and Comfortable Womenswear Fitted Elegant Dress","","4.3","$29.16","","1.9K","true","","",""
"65","1730813905693414328","https://shop.tiktok.com/us/pdp/hourglass-girdle-by-sculpttouch-adjustable-lightweight-breathable/1730813905693414328","Sculpt Touch Hourglass Girdle with 6-Row Hook Design | Adjustable Tummy Control & All-Day Comfort Shapewear Waistband Waist Trainer Women","","4.5","$39.99","$52.99","7.1K","true","-25%","Flash sale",""
"66","1732121321061716316","https://shop.tiktok.com/us/pdp/plus-size-front-buckle-strapless-bra-wireless-support-0xl-6xl/1732121321061716316","1/2/3/4/5-Pack Plus-Size Strapless Bras, Front-Closure Design with Stretchy Ribbed Soft Wireless Support, Comfortable Chic Daily Wear Bandeau Underwear (0XL-6XL)","","4.1","$6.23","$11.99","760","false","-48%","",""
"67","1729431522947273518","https://shop.tiktok.com/us/pdp/cropped-t-shirt-tankaneo-womens-summer-crewneck-short-sleeve-casual-top/1729431522947273518","Imily Bela Women's Summer Crewneck Crop Tops Short Sleeve Casual Loose Cropped T Shirts","Imily Bela","4.6","$24.97","","34.4K","true","","",""
"68","1732462584480043773","https://shop.tiktok.com/us/pdp/1732462584480043773","Women's Plain Deep V Neck Pleated Sexy Dress, Elegant Loose-Fitting Summer Dress, Unlined Fashionable Clothing for Women","","4.7","$18.78","$30.29","170","false","-38%","",""
"69","1729440023390819317","https://shop.tiktok.com/us/pdp/3-4-sleeve-t-shirts-by-dokotoo-womens-cute-crewneck-casual-blouses/1729440023390819317","Dokotoo Women's 2026 Fashion Tops 3/4 Sleeve T-Shirts Cute Crewneck Basic Business Tees Blouses Casual Summer Wear Super Soft Breathable Fabric","Dokotoo","4.7","$12.99","","86.1K","true","","",""
"70","1732446953441497996","https://shop.tiktok.com/us/pdp/1732446953441497996","YAABAAH Women's Stretch Fabric Scrub Set - Lightweight, Comfortable, Quick-Drying Workwear Uniform with Wide-Leg Pants, Multiple Pockets, Wrinkle-Resistant, Breathable Fit for Work,sohochic","","4.1","$23.91","$32.99","535","false","-28%","",""
"71","1732470354549314111","https://shop.tiktok.com/us/pdp/christian-oversized-tee-trust-in-jesus-design-unisex/1732470354549314111","Christian Oversized Tee, ""Trust in Jesus"" Psalm 37:5 Bible Verse Design, Faith-Based Gift for Men & Women,sohochic","","4.3","$8.42","","241","false","","",""
"72","1732365418841477959","https://shop.tiktok.com/us/pdp/ugem-20-30mmhg-copper-compression-sleeves-for-varicose-veins/1732365418841477959","UGEM 20-30mmHg Copper Compression Sleeves for Varicose Veins & Swelling - Non-Slip Full Leg Support (Medias para Circulación y Varices)","","4.4","$19.99","$44.42","2.8K","true","-55%","Limited time deal",""
